vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
67,14,3498.0,979.0,0,0
68,14,3533.0,986.0,1,0
68,14,3567.0,993.0,1,0
69,14,3602.5,1000.0,1,0
69,14,3637.0,1007.0,1,0
71,14,3674.5,1014.0,0,0
71,14,3710.0,1021.0,1,0
71,14,3745.5,1028.0,0,0
72,14,3782.5,1035.0,0,0
72,14,3818.5,1042.0,0,0
72,14,3854.5,1049.0,0,0
73,14,3892.0,1056.0,0,0
74,14,3930.0,1063.0,0,0
76,14,3970.0,1070.0,1,0
76,14,4008.0,1077.0,3,0
76,14,4046.0,1084.0,1,0
77,14,4085.5,1091.0,0,0
77,14,4124.0,1098.0,0,0
77,14,4162.5,1105.0,0,0
78,14,4202.5,1112.0,2,0
79,14,4243.0,1119.0,0,0
79,14,4282.5,1126.0,0,0
79,14,4322.0,1133.0,0,0
79,14,4361.5,1140.0,0,0
80,14,4402.5,1147.0,0,0
80,14,4442.5,1154.0,0,0
82,14,4485.5,1161.0,0,0
82,14,4526.5,1168.0,0,0
83,14,4569.0,1175.0,0,0
81,14,4564.5,1182.0,0,0
80,14,4584.0,1189.0,0,0
80,14,4605.5,1196.0,1,0
79,14,4626.5,1203.0,0,0
79,14,4666.0,1210.0,0,0
78,14,4687.0,1217.0,0,0
78,14,4726.0,1224.0,0,0
78,14,4748.5,1231.0,1,0
80,14,4790.5,1238.0,0,0
81,14,4815.5,1245.0,0,0
75,10,4040.0,940.5,0,0
70,10,3423.0,945.5,0,0
66,9,3029.5,886.5,0,0
64,9,3031.5,891.0,0,0
62,9,2837.5,895.5,0,0
59,9,2627.5,900.0,0,0
59,7,2647.0,756.5,0,0
57,7,2462.0,760.0,0,0
57,6,2398.5,684.0,0,0
57,6,2321.5,687.0,2,0
59,6,2265.5,690.0,0,0
59,6,2190.5,693.0,0,0
57,6,2044.5,696.0,1,0
56,6,2009.0,699.0,1,0
56,5,1943.5,521.0,0,0
56,5,1916.5,523.5,0,1
57,5,1858.0,526.0,0,0
56,5,1846.5,528.5,0,1
55,4,1790.5,337.0,1,0
54,4,1780.5,339.0,0,0
54,4,1716.0,341.0,1,0
53,4,1674.5,343.0,0,0
54,4,1702.5,345.0,0,0
55,4,1720.0,347.0,1,0
55,3,1688.0,263.0,2,0
55,3,1657.5,264.5,0,0
56,4,1686.5,267.5,0,0
56,4,1665.0,269.5,1,0
56,4,1693.0,271.5,2,0
57,4,1677.0,273.5,0,0
58,4,1707.0,275.5,0,0
58,4,1698.0,277.5,0,0
59,4,1693.5,279.5,1,0
59,3,1723.0,276.5,0,0
60,3,1754.0,278.0,0,1
59,3,1753.5,279.5,1,0
62,3,1787.5,281.0,0,0
61,3,1794.5,282.5,0,0
63,4,1828.0,285.5,0,0
62,5,1837.5,289.0,0,0
63,5,1870.0,291.0,0,0
64,5,1890.0,293.5,0,0
66,5,1925.0,296.0,0,0
65,5,1946.5,297.0,0,0
