hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
7.621831082213417e-05,0.9906798475905128,256,0.0016666097666668887,1.8239083290100098,-334.23,2,154.22293940244708,110.45198919682298,0.0,6f35e8cb,
9.309785757811793e-06,0.9930122129095107,256,0.0016869502934358197,2.3504109382629395,-500.18499999999943,2,172.7087673987262,114.23507439950481,0.0,0341ffb0,
1.0140583395953037e-05,0.9879947172903296,256,0.0017149161258348204,1.6375901699066162,-382.5800000000007,4,157.43453079811297,125.87606490030883,0.0,05b47cd1,
9.663325800592622e-06,0.9880962415743008,256,0.0005086356107791426,2.2955636978149414,-372.5000000000004,2,156.48928609967697,111.2752998014912,0.0,e5dfd219,
4.219690723060379e-05,0.9823721993555334,256,0.0005099584106803287,1.6353322267532349,-466.70500000000044,2,165.12329420202877,115.36081569851376,0.0,772ca237,
4.426570883419676e-05,0.9822137244440745,256,0.0011722120506443606,0.7011458873748779,-402.6949999999998,20,167.47730080096517,120.35014759853948,0.0,63cae0ef,
4.164481082488175e-05,0.982823779190245,256,0.0009293945244527391,1.0397268533706665,-457.3399999999996,16,168.7824648981914,115.23409319994971,0.0,a5561acb,
2.856530596821813e-06,0.9839071244321246,256,0.001163755166219836,0.87562096118927,-362.8800000000001,20,159.77861520065926,115.12141849892214,0.0,b9f8d310,
2.7132294907924634e-06,0.9828085527037297,256,0.0009343161951977553,2.111988067626953,-432.13,2,167.910602597869,112.46639800001867,0.0,89256a4e,
1.0130881714397554e-06,0.9803516621411383,256,0.001172975696612863,1.6436452865600586,-474.04999999999933,2,168.43812230264302,116.71222569944803,0.0,9cbaa717,
3.0853997058947012e-06,0.9831367536718293,256,0.0009637191094965939,0.9345650672912598,-455.67499999999933,20,173.53429260058329,118.27778530074283,0.0,d13710cd,
2.334512694552021e-06,0.9838395136929842,256,0.0011922545223075555,1.4621256589889526,-315.8649999999998,4,157.80154539935756,126.32904879981652,0.0,86b2ba52,
2.8705950824628953e-06,0.98393169379863,256,0.0025179476481427764,2.001882314682007,-368.59500000000025,2,158.99038779956754,118.60864020022564,0.0,b59ccd2b,
1.3725490440448006e-06,0.9966927320215682,256,0.003106393670260928,1.653686285018921,-492.73499999999996,4,181.62531640159432,122.22989019867964,0.0,cb0e63d3,
2.101861273900445e-06,0.9807036131642358,256,0.0027199638110685974,0.8086732625961304,-441.76500000000016,20,187.85597029852215,154.12955020263325,0.0,78b1fa10,
1.4023389590892134e-06,0.9811207579691121,256,0.0028619167730260862,1.112388014793396,-423.1900000000007,16,165.8460937984055,119.90056670026388,0.0,1af6b2b0,
5.042020446669738e-06,0.9802500113673926,256,0.0026879360456916923,0.9621508121490479,-350.75499999999965,16,168.39515239954926,135.37571870244574,0.0,59120b7d,
1.2563218846013575e-05,0.985346128748283,256,0.003746693202300209,1.6116580963134766,-511.5600000000008,2,180.63880040077493,116.68992229923606,0.0,d789db18,
5.582430026189176e-06,0.9869543294958698,128,0.002676172617959547,1.1988054513931274,-428.05000000000075,16,174.93797230022028,129.86071399843786,0.0,6edda967,
7.654838453261708e-06,0.9870636118099563,128,0.0027037022066073737,1.843629002571106,-502.95000000000016,2,172.6655169002479,115.71147959923837,0.0,da1c69a7,
