episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
137,train,-329.8200000000005,1000,28.971,2.674,707.3355,76.0185,390,32,52,1,137000
138,train,-314.98500000000035,1000,27.741,2.505,657.225,68.1665,390,31,51,1,138000
139,train,-317.04999999999995,1000,28.075,2.42,629.2475,61.403,392,32,50,1,139000
140,train,-284.75999999999993,1000,24.696,2.52,579.9365,66.0055,397,34,51,1,140000
141,train,-321.9249999999997,1000,28.438,2.503,721.0215,63.6465,399,31,50,1,141000
142,train,-274.255,1000,23.446,2.653,531.4545,70.5495,399,29,50,1,142000
143,train,-341.1900000000007,1000,29.979,2.76,672.273,78.5355,367,33,57,1,143000
144,train,-328.1250000000002,1000,29.115,2.465,658.089,67.7475,390,34,51,1,144000
145,train,-387.7750000000004,1000,33.592,3.457,747.087,94.0965,397,30,61,1,145000
146,train,-307.4099999999998,1000,27.108,2.422,610.2445,61.473,396,31,51,1,146000
147,train,-415.7099999999992,1000,37.494,2.718,894.043,70.046,386,32,60,1,147000
148,train,-275.3199999999998,1000,24.184,2.232,536.2345,56.548,396,33,51,1,148000
149,train,-314.9000000000011,1000,27.788,2.468,670.661,61.3235,388,35,54,1,149000
150,train,-343.42999999999955,1000,30.287,2.704,724.5175,64.5885,384,30,55,1,150000
151,train,-305.5650000000003,1000,26.58,2.651,617.285,70.923,395,30,51,1,151000
152,train,-305.27000000000066,1000,26.045,2.988,608.8895,82.514,395,31,50,1,152000
153,train,-296.5300000000007,1000,26.134,2.346,625.7045,59.5585,391,34,51,1,153000
154,train,-340.30999999999955,1000,30.071,2.64,720.214,72.045,381,32,52,1,154000
155,train,-292.9950000000001,1000,24.762,3.025,604.683,79.2335,393,28,50,1,155000
156,train,-310.4649999999997,1000,28.087,1.973,612.0555,47.984,388,34,51,1,156000
157,train,-329.0049999999999,1000,29.32,2.387,763.27,60.9445,399,32,51,1,157000
158,train,-289.015,1000,25.573,2.219,579.029,65.3685,390,31,52,1,158000
159,train,-325.7099999999997,1000,28.068,3.002,671.7245,84.179,393,32,50,1,159000
160,train,-328.2550000000002,1000,29.302,2.349,685.0465,64.8895,387,28,51,1,160000
161,train,-324.79500000000064,1000,28.752,2.485,666.106,64.8915,390,30,51,1,161000
162,train,-301.6900000000007,1000,26.533,2.424,619.4025,59.373,394,34,52,1,162000
163,train,-354.54999999999916,1000,31.573,2.588,750.8705,67.655,392,30,51,1,163000
164,train,-354.6850000000005,1000,31.153,2.877,792.2745,72.715,397,32,53,1,164000
165,train,-334.9000000000006,1000,29.494,2.664,791.8235,72.5635,388,32,47,1,165000
166,train,-341.4600000000001,1000,30.048,2.732,777.0035,73.984,389,32,52,1,166000
167,train,-356.74500000000006,1000,30.825,3.233,624.541,84.815,384,30,63,1,167000
168,train,-289.81500000000045,1000,25.398,2.389,566.9235,60.4195,393,33,51,1,168000
169,train,-275.69499999999965,1000,22.774,3.197,532.971,92.6845,394,30,49,1,169000
170,train,-326.51999999999975,1000,29.037,2.41,740.4155,66.5355,393,34,51,1,170000
171,train,-326.1900000000003,1000,27.69,3.286,659.04,94.818,384,33,50,1,171000
172,train,-337.02500000000066,1000,29.729,2.649,671.2065,78.802,383,29,53,1,172000
173,train,-367.8949999999995,1000,32.624,2.777,790.119,71.5315,391,30,58,1,173000
174,train,-282.62000000000023,1000,24.32,2.628,542.874,75.7685,397,32,50,1,174000
175,train,-304.3350000000001,1000,26.88,2.369,636.332,61.8435,383,31,51,1,175000
176,train,-313.2800000000001,1000,27.965,2.242,729.0225,56.986,395,29,51,1,176000
177,train,-355.5150000000002,1000,31.347,2.803,844.3445,74.7915,391,30,53,1,177000
178,train,-307.99000000000024,1000,27.16,2.426,658.405,63.1075,394,30,51,1,178000
179,train,-326.7900000000006,1000,28.788,2.594,698.54,77.081,387,32,51,1,179000
180,train,-353.4449999999999,1000,31.122,2.815,721.388,82.5595,392,30,55,1,180000
181,train,-298.2949999999996,1000,25.457,2.915,647.426,81.851,383,30,50,1,181000
182,train,-278.955,1000,24.585,2.207,561.7325,55.972,394,31,52,1,182000
183,train,-318.6400000000002,1000,28.249,2.41,711.815,59.2855,399,33,50,1,183000
184,train,-303.39000000000055,1000,26.601,2.492,618.717,59.6975,398,33,50,1,184000
185,train,-288.22499999999985,1000,24.897,2.617,521.629,66.628,397,31,51,1,185000
186,train,-314.79500000000036,1000,28.304,2.117,710.738,53.63,396,32,50,1,186000
187,train,-316.9949999999998,1000,28.068,2.421,685.2665,64.814,398,30,51,1,187000
188,train,-284.8449999999997,1000,24.658,2.551,559.6095,73.41,399,29,50,1,188000
189,train,-308.04999999999967,1000,26.608,2.798,638.6975,72.323,394,29,50,1,189000
190,train,-298.8800000000006,1000,26.114,2.516,612.26,70.5135,397,31,50,1,190000
191,train,-346.2749999999999,1000,29.766,3.241,659.176,87.377,392,30,57,1,191000
