global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
203,0,11,11,8,0.0,0.0,0,0.0,0.0
204,0,12,12,8,0.0,0.0,0,0.0,0.0
205,0,13,13,8,0.0,0.0,0,0.0,0.0
206,0,14,14,8,0.0,0.0,0,0.0,0.0
207,0,15,15,8,0.0,0.0,0,0.0,0.0
208,0,16,16,8,0.0,0.0,0,0.0,0.0
209,0,17,17,8,0.0,0.0,0,0.0,0.0
210,0,18,18,8,0.0,0.0,0,0.0,0.0
211,0,19,19,8,0.0,0.0,0,0.0,0.0
212,0,20,20,8,0.0,0.0,0,0.0,0.0
213,0,21,21,8,0.0,0.0,0,0.0,0.0
214,0,22,22,8,0.0,0.0,0,0.0,0.0
215,0,23,23,8,0.0,0.0,0,0.0,0.0
216,0,0,0,9,0.0,0.0,0,0.0,0.0
217,0,1,1,9,0.0,0.0,0,0.0,0.0
218,0,2,2,9,0.0,0.0,0,0.0,0.0
219,0,3,3,9,0.0,0.0,0,0.0,0.0
220,0,4,4,9,0.0,0.0,0,0.0,0.0
221,0,5,5,9,0.0,0.0,0,0.0,0.0
222,0,6,6,9,0.0,0.0,0,0.0,0.0
223,0,7,7,9,0.0,0.0,0,0.0,0.0
224,0,8,8,9,0.0,0.0,0,0.0,0.0
225,0,9,9,9,0.0,0.0,0,0.0,0.0
226,0,10,10,9,0.0,0.0,0,0.0,0.0
227,0,11,11,9,0.0,0.0,0,0.0,0.0
228,0,12,12,9,0.0,0.0,0,0.0,0.0
229,0,13,13,9,0.0,0.0,0,0.0,0.0
230,0,14,14,9,0.0,0.0,0,0.0,0.0
231,0,15,15,9,0.0,0.0,0,0.0,0.0
232,0,16,16,9,0.0,0.0,0,0.0,0.0
233,0,17,17,9,0.0,0.0,0,0.0,0.0
234,0,18,18,9,0.0,0.0,0,0.0,0.0
235,0,19,19,9,0.0,0.0,0,0.0,0.0
236,0,20,20,9,0.0,0.0,0,0.0,0.0
237,0,21,21,9,0.0,0.0,0,0.0,0.0
238,0,22,22,9,0.0,0.0,0,0.0,0.0
239,0,23,23,9,0.0,0.0,0,0.0,0.0
240,1,0,24,0,-0.0,0.0,0,0.0,0.0
241,1,1,25,0,-0.0,0.0,0,0.0,0.0
242,1,2,26,0,-0.0,0.0,0,0.0,0.0
243,1,3,27,0,-0.0,0.0,0,0.0,0.0
244,1,4,28,0,-0.0,0.0,0,0.0,0.0
245,1,5,29,0,-0.0,0.0,0,0.0,0.0
246,1,6,30,0,-0.0,0.0,0,0.0,0.0
247,1,7,31,0,-0.0,0.0,0,0.0,0.0
248,1,8,32,0,-0.0,0.0,0,0.0,0.0
249,1,9,33,0,-0.0,0.0,0,0.0,0.0
250,1,10,34,0,-0.0,0.0,0,0.0,0.0
251,1,11,35,0,-0.0,0.0,0,0.0,0.0
252,1,12,36,0,-0.0,0.0,0,0.0,0.0
253,1,13,37,0,-0.0,0.0,0,0.0,0.0
254,1,14,38,0,-0.0,0.0,0,0.0,0.0
255,1,15,39,0,-0.0,0.0,0,0.0,0.0
256,1,16,40,0,-0.0,0.0,0,0.0,0.0
257,1,17,41,0,-0.0,0.0,0,0.0,0.0
258,1,18,42,0,-0.0,0.0,0,0.0,0.0
259,1,19,43,0,-0.0,0.0,0,0.0,0.0
260,1,20,44,0,-0.0,0.0,0,0.0,0.0
261,1,21,45,0,-0.0,0.0,0,0.0,0.0
262,1,22,46,0,-0.0,0.0,0,0.0,0.0
263,1,23,47,0,-0.0,0.0,0,0.0,0.0
264,1,0,24,1,0.0,0.0,0,0.0,0.0
265,1,1,25,1,0.0,0.0,0,0.0,0.0
266,1,2,26,1,0.0,0.0,0,0.0,0.0
267,1,3,27,1,0.0,0.0,0,0.0,0.0
268,1,4,28,1,0.0,0.0,0,0.0,0.0
269,1,5,29,1,0.0,0.0,0,0.0,0.0
270,1,6,30,1,0.0,0.0,0,0.0,0.0
271,1,7,31,1,0.0,0.0,0,0.0,0.0
272,1,8,32,1,0.0,0.0,0,0.0,0.0
273,1,9,33,1,0.0,0.0,0,0.0,0.0
274,1,10,34,1,0.0,0.0,0,0.0,0.0
275,1,11,35,1,0.0,0.0,0,0.0,0.0
276,1,12,36,1,0.0,0.0,0,0.0,0.0
277,1,13,37,1,0.0,0.0,0,0.0,0.0
278,1,14,38,1,0.0,0.0,0,0.0,0.0
279,1,15,39,1,0.0,0.0,0,0.0,0.0
280,1,16,40,1,0.0,0.0,0,0.0,0.0
281,1,17,41,1,0.0,0.0,0,0.0,0.0
282,1,18,42,1,0.0,0.0,0,0.0,0.0
283,1,19,43,1,0.0,0.0,0,0.0,0.0
284,1,20,44,1,0.0,0.0,0,0.0,0.0
285,1,21,45,1,0.0,0.0,0,0.0,0.0
286,1,22,46,1,0.0,0.0,0,0.0,0.0
287,1,23,47,1,0.0,0.0,0,0.0,0.0
288,1,0,24,2,0.0,0.0,0,0.0,0.0
289,1,1,25,2,0.0,0.0,0,0.0,0.0
290,1,2,26,2,0.0,0.0,0,0.0,0.0
291,1,3,27,2,0.0,0.0,0,0.0,0.0
292,1,4,28,2,0.0,0.0,0,0.0,0.0
